variant,seed,area_um2,stdcell_count,fmax_mhz,power_uw_at_100mhz,ws_at_slow_ns,drc_errors,lvs_errors,run_dir
naive,0,8051.47,492,110.27513865626167,3084.24886316061,0.931772907426604,0,0,flow/phase1_naive/seed0/runs/phase1_naive_s0
naive,1,8051.47,493,108.93401226414832,3240.9646082669497,0.820130653269679,0,0,flow/phase1_naive/seed1/runs/phase1_naive_s1
naive,2,8051.47,502,99.89087326782106,2951.8872033804655,-0.010924594871280184,0,0,flow/phase1_naive/seed2/runs/phase1_naive_s2
naive,3,8051.47,490,111.49400422581039,3251.7046201974154,1.0309078327235803,0,0,flow/phase1_naive/seed3/runs/phase1_naive_s3
naive,4,8092.76,498,99.1800620657252,3043.002914637327,-0.08267164964380158,0,0,flow/phase1_naive/seed4/runs/phase1_naive_s4
handopt,0,7767.45,494,105.53117846091443,3011.635970324278,0.5241274229646753,0,0,flow/phase1_handopt/seed0/runs/phase1_handopt_s0
handopt,1,8051.47,502,104.03753270606951,3030.611900612712,0.3880842423932235,0,0,flow/phase1_handopt/seed1/runs/phase1_handopt_s1
handopt,2,7807.49,500,100.42420960467719,2699.139527976513,0.04224176683561671,0,0,flow/phase1_handopt/seed2/runs/phase1_handopt_s2
handopt,3,7767.45,497,100.33463596531026,2745.374571532011,0.03335198878141806,0,0,flow/phase1_handopt/seed3/runs/phase1_handopt_s3
handopt,4,8092.76,501,105.70218226117872,3078.7629075348377,0.5394573829222603,0,0,flow/phase1_handopt/seed4/runs/phase1_handopt_s4
tlg,0,9240.11,598,98.50346285554431,1223.882776685059,-0.15192736387860423,0,0,flow/phase1_tlg/seed0/runs/phase1_tlg_s0
tlg,1,9283.9,602,98.75348164937277,1502.7072513476014,-0.12622525604241674,0,0,flow/phase1_tlg/seed1/runs/phase1_tlg_s1
tlg,2,9639.24,610,99.32928245260338,1839.5301885902882,-0.06752465444584937,0,0,flow/phase1_tlg/seed2/runs/phase1_tlg_s2
tlg,3,9283.9,598,102.43909523586504,1511.027687229216,0.23810198930877402,0,0,flow/phase1_tlg/seed3/runs/phase1_tlg_s3
tlg,4,9639.24,605,99.3004691724993,1528.0847437679768,-0.07044587335086079,0,0,flow/phase1_tlg/seed4/runs/phase1_tlg_s4
